disease_level,mechanism_level,disease_k,mechanism_k,mantel_r,p_value
1,1,5,4,0.19594964422550626,0.20777922207779223
1,2,5,6,0.3169129720853858,0.0887911208879112
1,3,5,8,0.4444444444444444,0.0178982101789821
1,4,5,9,0.4438970990695128,0.0184981501849815
1,5,5,10,0.4614121510673235,0.015398460153984602
1,6,5,11,0.4652435686918446,0.013798620137986202
1,7,5,12,0.37328954570333883,0.049095090490950906
1,8,5,13,0.3765736179529283,0.047595240475952406
2,1,7,4,0.22660098522167485,0.18238176182381763
2,2,7,6,0.3415435139573071,0.0751924807519248
2,3,7,8,0.46360153256704983,0.017198280171982803
2,4,7,9,0.4657909140667761,0.0206979302069793
2,5,7,10,0.48166392993979196,0.017598240175982403
2,6,7,11,0.48440065681444994,0.014298570142985701
2,7,7,12,0.42255062944718114,0.035596440355964404
2,8,7,13,0.41707717569786534,0.0357964203579642
3,1,9,4,0.22769567597153803,0.18568143185681432
3,2,9,6,0.35030103995621237,0.06879312068793121
3,3,9,8,0.4674329501915709,0.017298270172982702
3,4,9,9,0.4696223316912972,0.016998300169983
3,5,9,10,0.48549534756431306,0.013298670132986702
3,6,9,11,0.48823207443897104,0.013598640135986401
3,7,9,12,0.42747673782156537,0.030896910308969103
3,8,9,13,0.42255062944718114,0.029597040295970403
4,1,11,4,0.22769567597153803,0.18098190180981902
4,2,11,6,0.35030103995621237,0.06619338066193381
4,3,11,8,0.4674329501915709,0.015798420157984203
4,4,11,9,0.4696223316912972,0.016798320167983202
4,5,11,10,0.48549534756431306,0.013998600139986002
4,6,11,11,0.48823207443897104,0.011998800119988001
4,7,11,12,0.42747673782156537,0.0331966803319668
4,8,11,13,0.42255062944718114,0.034896510348965105
5,1,13,4,0.22769567597153803,0.1832816718328167
5,2,13,6,0.35030103995621237,0.07029297070292971
5,3,13,8,0.4674329501915709,0.0160983901609839
5,4,13,9,0.4696223316912972,0.015398460153984602
5,5,13,10,0.48549534756431306,0.014198580141985802
5,6,13,11,0.48823207443897104,0.013998600139986002
5,7,13,12,0.42747673782156537,0.031596840315968405
5,8,13,13,0.42255062944718114,0.0321967803219678
6,1,14,4,0.23043240284619596,0.17918208179182082
6,2,14,6,0.3541324575807335,0.06459354064593541
6,3,14,8,0.46852764094143406,0.017698230176982303
6,4,14,9,0.4712643678160919,0.0164983501649835
6,5,14,10,0.48713738368910786,0.0122987701229877
6,6,14,11,0.48987411056376573,0.011198880111988802
6,7,14,12,0.43021346469622335,0.030796920307969204
6,8,14,13,0.4258347016967706,0.031796820317968204
7,1,15,4,0.23043240284619596,0.18168183181681832
7,2,15,6,0.3541324575807335,0.06869313068693131
7,3,15,8,0.46852764094143406,0.013898610138986101
7,4,15,9,0.4712643678160919,0.016298370162983702
7,5,15,10,0.48713738368910786,0.014898510148985102
7,6,15,11,0.48987411056376573,0.013598640135986401
7,7,15,12,0.43021346469622335,0.030796920307969204
7,8,15,13,0.4258347016967706,0.0316968303169683
