category,disease_cat_dim1,disease_cat_dim2
Addiction,0.10570711413491708,-0.31839263734277645
Cancer/Oncology,-0.2877404144073632,-0.17431503382003044
Cardiovascular,1.7544613347731972,0.27139356600658127
Dermatological,-0.12247807737370822,-0.5467046927156586
Gastrointestinal,-0.29443572427577497,0.868913886904989
Immune/Inflammatory,-0.1134522560068879,-0.14630032190288483
Metabolic/Endocrine,-0.3031514875905501,0.12665763375709863
Musculoskeletal,-0.2698487763791076,-0.13938728926858648
Neurological,0.14569423298484255,-0.14978347865716793
Pain,-0.24740775181510635,-0.1543236317857749
Psychiatric,0.25993416952190007,-0.32862224013754554
Renal/Urological,0.27641026689444326,-0.24605041359175425
Reproductive,-0.2980100779433876,-0.6265151141447272
Respiratory,-0.15257690330861687,-0.10795507023707031
