category,mechanism_cat_dim1,mechanism_cat_dim2
Analgesic/Opioid,0.06023794329469286,0.19301249650981325
Autonomic/Neuroendocrine,0.24698679802266302,-0.02140133776334304
Autophagy/Mitophagy,-0.9179559233199842,-0.5746257085890575
Cell Survival/Apoptosis,-0.23388479413960597,0.03160695382954271
Gut-Brain/Enteric,0.5404948415822763,-0.4795021121312698
Inflammatory/Immune,0.047013343546148584,0.06853213675141556
Ion Channel/Pain Transduction,-0.004624059485871582,0.15121090604102796
Metabolic Pathway,0.08194610533484442,-0.3272232966428018
Neural Circuit/Connectivity,0.10322759701493915,0.3027659103925375
Neurochemical Signaling,0.0034107228633745135,0.06447303901183567
Neuroprotective,-0.3219593826059101,-0.11929266899006755
Oxidative Stress,-0.12166722776154,0.03471823140977814
