# Site scores
Site,disease_ca_dim1,disease_ca_dim2,mechanism_ca_dim1,mechanism_ca_dim2
BL25,-0.5860702429947992,1.496810794105649,0.6233083420582196,-0.23342945475775148
GV4,0.223561607653973,-0.34924497592060716,-1.399807142499475,-0.7350187961473522
ST25,-0.4411605919243272,1.2153564198744211,0.4836053686990824,-0.5366201024709678
CV12,-0.22110733251447437,0.37326839376823256,0.09012627604804554,-0.3828617629766168
PC6,1.4802451804014383,0.17510116109221943,-0.19356891317156905,0.08729875054207996
LI4,0.08677644658392174,-0.41188738694527743,-0.19518261265679795,0.026757750151599605
SP6,-0.2476096224754442,-0.4260893473621542,0.0200030856632084,0.12684500867065823
ST36,-0.12400656107889915,-0.013325984731723828,0.02483141766794635,0.04274699700192561

# Disease category scores
category,disease_cat_dim1,disease_cat_dim2
Addiction,0.10570711413491708,-0.31839263734277645
Cancer/Oncology,-0.2877404144073632,-0.17431503382003044
Cardiovascular,1.7544613347731972,0.27139356600658127
Dermatological,-0.12247807737370822,-0.5467046927156586
Gastrointestinal,-0.29443572427577497,0.868913886904989
Immune/Inflammatory,-0.1134522560068879,-0.14630032190288483
Metabolic/Endocrine,-0.3031514875905501,0.12665763375709863
Musculoskeletal,-0.2698487763791076,-0.13938728926858648
Neurological,0.14569423298484255,-0.14978347865716793
Pain,-0.24740775181510635,-0.1543236317857749
Psychiatric,0.25993416952190007,-0.32862224013754554
Renal/Urological,0.27641026689444326,-0.24605041359175425
Reproductive,-0.2980100779433876,-0.6265151141447272
Respiratory,-0.15257690330861687,-0.10795507023707031

# Mechanism category scores
category,mechanism_cat_dim1,mechanism_cat_dim2
Analgesic/Opioid,0.06023794329469286,0.19301249650981325
Autonomic/Neuroendocrine,0.24698679802266302,-0.02140133776334304
Autophagy/Mitophagy,-0.9179559233199842,-0.5746257085890575
Cell Survival/Apoptosis,-0.23388479413960597,0.03160695382954271
Gut-Brain/Enteric,0.5404948415822763,-0.4795021121312698
Inflammatory/Immune,0.047013343546148584,0.06853213675141556
Ion Channel/Pain Transduction,-0.004624059485871582,0.15121090604102796
Metabolic Pathway,0.08194610533484442,-0.3272232966428018
Neural Circuit/Connectivity,0.10322759701493915,0.3027659103925375
Neurochemical Signaling,0.0034107228633745135,0.06447303901183567
Neuroprotective,-0.3219593826059101,-0.11929266899006755
Oxidative Stress,-0.12166722776154,0.03471823140977814
