category,disease_cat_dim1,disease_cat_dim2
Addiction,0.1132068980764516,-0.3460211729146826
Cancer/Oncology,-0.27731139205188776,-0.19099931727902192
Cardiovascular,1.7525154122154851,0.22983530576603375
Dermatological,-0.12044616427625121,-0.5346418096133455
Gastrointestinal,-0.28065368928849527,0.8540645850467895
Immune/Inflammatory,-0.10547232923008809,-0.15938354034567653
Metabolic/Endocrine,-0.3055847136265698,0.13121023334241036
Musculoskeletal,-0.2602288100485112,-0.15098474010135396
Neurological,0.13143889945305662,-0.1120015046546272
Pain,-0.23764464030098578,-0.17078067406539213
Psychiatric,0.260978722815513,-0.3367393839190202
Renal/Urological,0.28331724701296856,-0.27699918050481465
Reproductive,-0.2889714337768057,-0.6560194322274139
Respiratory,-0.14386410801029828,-0.11871172280229114
