category,mechanism_cat_dim1,mechanism_cat_dim2
Analgesic/Opioid,0.0940260422142816,0.17041179338489876
Autonomic/Neuroendocrine,-0.19414783445630018,0.17280924597279781
Autophagy/Mitophagy,0.031083800782216044,0.1206625791073188
Cell Survival/Apoptosis,0.16143299607926886,0.03176596611286406
Gut-Brain/Enteric,-0.7155038160861236,0.039375172740272545
Inflammatory/Immune,0.030764029043264345,-0.0011153400556095045
Ion Channel/Pain Transduction,0.1406156199615977,0.012840770019736032
Metabolic Pathway,-0.2316406362266868,-0.4705113777200186
Neural Circuit/Connectivity,0.11450909577873415,0.3307898025644595
Neurochemical Signaling,0.07057343029034885,-0.11610322270052711
Neuroprotective,0.11748512407195127,-0.15642509780015837
Oxidative Stress,0.11691321968917325,-0.05069441810193577
